id,track,entreprise,ville,siren,prenom_dirigeant,nom_dirigeant,fonction,email,telephone,tel_type,linkedin,hook,source,statut_mail,statut_call,dernier_contact,next_touch,notes
D001,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D002,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D003,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D004,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D005,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D006,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D007,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D008,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D009,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D010,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D011,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D012,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D013,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D014,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D015,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D016,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D017,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D018,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D019,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D020,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D021,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D022,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D023,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D024,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D025,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D026,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D027,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D028,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D029,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D030,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D031,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D032,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D033,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D034,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D035,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D036,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D037,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D038,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D039,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D040,MAIL,,Lorient,,,,,,,,,,,A_ENVOYER,,,,
D041,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D042,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D043,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D044,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D045,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D046,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D047,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D048,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D049,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D050,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D051,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D052,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D053,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D054,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D055,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D056,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D057,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D058,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D059,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
