id,nom,type,adresse,quartier_slot,telephone,email,decideur,vitrine_grande,rue_passante,salete_visible,avis_ou_enseigne,score,hook,statut,dernier_contact,next_touch,notes
slot_001,,optique,,centre,,,,,,,,,slot optique centre,A_RECHERCHER,,,
slot_002,,agence_immo,,centre,,,,,,,,,slot agence immobilière centre,A_RECHERCHER,,,
slot_003,,coiffure,,centre,,,,,,,,,slot salon de coiffure centre,A_RECHERCHER,,,
slot_004,,pret_a_porter,,centre,,,,,,,,,slot magasin vêtements centre,A_RECHERCHER,,,
slot_005,,boulangerie,,centre,,,,,,,,,slot boulangerie centre,A_RECHERCHER,,,
slot_006,,restaurant,,centre,,,,,,,,,slot restaurant centre,A_RECHERCHER,,,
slot_007,,cafe,,centre,,,,,,,,,slot café centre,A_RECHERCHER,,,
slot_008,,pharmacie,,centre,,,,,,,,,slot pharmacie centre,A_RECHERCHER,,,
slot_009,,banque,,centre,,,,,,,,,slot agence bancaire centre,A_RECHERCHER,,,
slot_010,,coworking,,centre,,,,,,,,,slot coworking centre,A_RECHERCHER,,,
slot_011,,syndic,,centre,,,,,,,,,slot syndic de copropriété centre,A_RECHERCHER,,,
slot_012,,fleuriste,,centre,,,,,,,,,slot fleuriste centre,A_RECHERCHER,,,
slot_013,,bijouterie,,centre,,,,,,,,,slot bijouterie centre,A_RECHERCHER,,,
slot_014,,spa,,centre,,,,,,,,,slot institut beauté centre,A_RECHERCHER,,,
slot_015,,optique,,gare,,,,,,,,,slot optique gare,A_RECHERCHER,,,
slot_016,,agence_immo,,gare,,,,,,,,,slot agence immobilière gare,A_RECHERCHER,,,
slot_017,,coiffure,,gare,,,,,,,,,slot salon de coiffure gare,A_RECHERCHER,,,
slot_018,,pret_a_porter,,gare,,,,,,,,,slot magasin vêtements gare,A_RECHERCHER,,,
slot_019,,boulangerie,,gare,,,,,,,,,slot boulangerie gare,A_RECHERCHER,,,
slot_020,,restaurant,,gare,,,,,,,,,slot restaurant gare,A_RECHERCHER,,,
slot_021,,cafe,,gare,,,,,,,,,slot café gare,A_RECHERCHER,,,
slot_022,,pharmacie,,gare,,,,,,,,,slot pharmacie gare,A_RECHERCHER,,,
slot_023,,banque,,gare,,,,,,,,,slot agence bancaire gare,A_RECHERCHER,,,
slot_024,,coworking,,gare,,,,,,,,,slot coworking gare,A_RECHERCHER,,,
slot_025,,syndic,,gare,,,,,,,,,slot syndic de copropriété gare,A_RECHERCHER,,,
slot_026,,fleuriste,,gare,,,,,,,,,slot fleuriste gare,A_RECHERCHER,,,
slot_027,,bijouterie,,gare,,,,,,,,,slot bijouterie gare,A_RECHERCHER,,,
slot_028,,spa,,gare,,,,,,,,,slot institut beauté gare,A_RECHERCHER,,,
slot_029,,optique,,republique,,,,,,,,,slot optique republique,A_RECHERCHER,,,
slot_030,,agence_immo,,republique,,,,,,,,,slot agence immobilière republique,A_RECHERCHER,,,
slot_031,,coiffure,,republique,,,,,,,,,slot salon de coiffure republique,A_RECHERCHER,,,
slot_032,,pret_a_porter,,republique,,,,,,,,,slot magasin vêtements republique,A_RECHERCHER,,,
slot_033,,boulangerie,,republique,,,,,,,,,slot boulangerie republique,A_RECHERCHER,,,
slot_034,,restaurant,,republique,,,,,,,,,slot restaurant republique,A_RECHERCHER,,,
slot_035,,cafe,,republique,,,,,,,,,slot café republique,A_RECHERCHER,,,
slot_036,,pharmacie,,republique,,,,,,,,,slot pharmacie republique,A_RECHERCHER,,,
slot_037,,banque,,republique,,,,,,,,,slot agence bancaire republique,A_RECHERCHER,,,
slot_038,,coworking,,republique,,,,,,,,,slot coworking republique,A_RECHERCHER,,,
slot_039,,syndic,,republique,,,,,,,,,slot syndic de copropriété republique,A_RECHERCHER,,,
slot_040,,fleuriste,,republique,,,,,,,,,slot fleuriste republique,A_RECHERCHER,,,
slot_041,,bijouterie,,republique,,,,,,,,,slot bijouterie republique,A_RECHERCHER,,,
slot_042,,spa,,republique,,,,,,,,,slot institut beauté republique,A_RECHERCHER,,,
slot_043,,optique,,marche,,,,,,,,,slot optique marche,A_RECHERCHER,,,
slot_044,,agence_immo,,marche,,,,,,,,,slot agence immobilière marche,A_RECHERCHER,,,
slot_045,,coiffure,,marche,,,,,,,,,slot salon de coiffure marche,A_RECHERCHER,,,
slot_046,,pret_a_porter,,marche,,,,,,,,,slot magasin vêtements marche,A_RECHERCHER,,,
slot_047,,boulangerie,,marche,,,,,,,,,slot boulangerie marche,A_RECHERCHER,,,
slot_048,,restaurant,,marche,,,,,,,,,slot restaurant marche,A_RECHERCHER,,,
slot_049,,cafe,,marche,,,,,,,,,slot café marche,A_RECHERCHER,,,
slot_050,,pharmacie,,marche,,,,,,,,,slot pharmacie marche,A_RECHERCHER,,,
slot_051,,banque,,marche,,,,,,,,,slot agence bancaire marche,A_RECHERCHER,,,
slot_052,,coworking,,marche,,,,,,,,,slot coworking marche,A_RECHERCHER,,,
slot_053,,syndic,,marche,,,,,,,,,slot syndic de copropriété marche,A_RECHERCHER,,,
slot_054,,fleuriste,,marche,,,,,,,,,slot fleuriste marche,A_RECHERCHER,,,
slot_055,,bijouterie,,marche,,,,,,,,,slot bijouterie marche,A_RECHERCHER,,,
slot_056,,spa,,marche,,,,,,,,,slot institut beauté marche,A_RECHERCHER,,,
slot_057,,optique,,hypercentre,,,,,,,,,slot optique hypercentre,A_RECHERCHER,,,
slot_058,,agence_immo,,hypercentre,,,,,,,,,slot agence immobilière hypercentre,A_RECHERCHER,,,
slot_059,,coiffure,,hypercentre,,,,,,,,,slot salon de coiffure hypercentre,A_RECHERCHER,,,
slot_060,,pret_a_porter,,hypercentre,,,,,,,,,slot magasin vêtements hypercentre,A_RECHERCHER,,,
slot_061,,boulangerie,,hypercentre,,,,,,,,,slot boulangerie hypercentre,A_RECHERCHER,,,
slot_062,,restaurant,,hypercentre,,,,,,,,,slot restaurant hypercentre,A_RECHERCHER,,,
slot_063,,cafe,,hypercentre,,,,,,,,,slot café hypercentre,A_RECHERCHER,,,
slot_064,,pharmacie,,hypercentre,,,,,,,,,slot pharmacie hypercentre,A_RECHERCHER,,,
slot_065,,banque,,hypercentre,,,,,,,,,slot agence bancaire hypercentre,A_RECHERCHER,,,
slot_066,,coworking,,hypercentre,,,,,,,,,slot coworking hypercentre,A_RECHERCHER,,,
slot_067,,syndic,,hypercentre,,,,,,,,,slot syndic de copropriété hypercentre,A_RECHERCHER,,,
slot_068,,fleuriste,,hypercentre,,,,,,,,,slot fleuriste hypercentre,A_RECHERCHER,,,
slot_069,,bijouterie,,hypercentre,,,,,,,,,slot bijouterie hypercentre,A_RECHERCHER,,,
slot_070,,spa,,hypercentre,,,,,,,,,slot institut beauté hypercentre,A_RECHERCHER,,,
slot_071,,optique,,zone_com,,,,,,,,,slot optique zone_com,A_RECHERCHER,,,
slot_072,,agence_immo,,zone_com,,,,,,,,,slot agence immobilière zone_com,A_RECHERCHER,,,
slot_073,,coiffure,,zone_com,,,,,,,,,slot salon de coiffure zone_com,A_RECHERCHER,,,
slot_074,,pret_a_porter,,zone_com,,,,,,,,,slot magasin vêtements zone_com,A_RECHERCHER,,,
slot_075,,boulangerie,,zone_com,,,,,,,,,slot boulangerie zone_com,A_RECHERCHER,,,
slot_076,,restaurant,,zone_com,,,,,,,,,slot restaurant zone_com,A_RECHERCHER,,,
slot_077,,cafe,,zone_com,,,,,,,,,slot café zone_com,A_RECHERCHER,,,
slot_078,,pharmacie,,zone_com,,,,,,,,,slot pharmacie zone_com,A_RECHERCHER,,,
slot_079,,banque,,zone_com,,,,,,,,,slot agence bancaire zone_com,A_RECHERCHER,,,
slot_080,,coworking,,zone_com,,,,,,,,,slot coworking zone_com,A_RECHERCHER,,,
slot_081,,syndic,,zone_com,,,,,,,,,slot syndic de copropriété zone_com,A_RECHERCHER,,,
slot_082,,fleuriste,,zone_com,,,,,,,,,slot fleuriste zone_com,A_RECHERCHER,,,
slot_083,,bijouterie,,zone_com,,,,,,,,,slot bijouterie zone_com,A_RECHERCHER,,,
slot_084,,spa,,zone_com,,,,,,,,,slot institut beauté zone_com,A_RECHERCHER,,,
slot_085,,optique,,port,,,,,,,,,slot optique port,A_RECHERCHER,,,
slot_086,,agence_immo,,port,,,,,,,,,slot agence immobilière port,A_RECHERCHER,,,
slot_087,,coiffure,,port,,,,,,,,,slot salon de coiffure port,A_RECHERCHER,,,
slot_088,,pret_a_porter,,port,,,,,,,,,slot magasin vêtements port,A_RECHERCHER,,,
slot_089,,boulangerie,,port,,,,,,,,,slot boulangerie port,A_RECHERCHER,,,
slot_090,,restaurant,,port,,,,,,,,,slot restaurant port,A_RECHERCHER,,,
slot_091,,cafe,,port,,,,,,,,,slot café port,A_RECHERCHER,,,
slot_092,,pharmacie,,port,,,,,,,,,slot pharmacie port,A_RECHERCHER,,,
slot_093,,banque,,port,,,,,,,,,slot agence bancaire port,A_RECHERCHER,,,
slot_094,,coworking,,port,,,,,,,,,slot coworking port,A_RECHERCHER,,,
slot_095,,syndic,,port,,,,,,,,,slot syndic de copropriété port,A_RECHERCHER,,,
slot_096,,fleuriste,,port,,,,,,,,,slot fleuriste port,A_RECHERCHER,,,
slot_097,,bijouterie,,port,,,,,,,,,slot bijouterie port,A_RECHERCHER,,,
slot_098,,spa,,port,,,,,,,,,slot institut beauté port,A_RECHERCHER,,,
slot_099,,optique,,universite,,,,,,,,,slot optique universite,A_RECHERCHER,,,
slot_100,,agence_immo,,universite,,,,,,,,,slot agence immobilière universite,A_RECHERCHER,,,
slot_101,,coiffure,,universite,,,,,,,,,slot salon de coiffure universite,A_RECHERCHER,,,
slot_102,,pret_a_porter,,universite,,,,,,,,,slot magasin vêtements universite,A_RECHERCHER,,,
slot_103,,boulangerie,,universite,,,,,,,,,slot boulangerie universite,A_RECHERCHER,,,
slot_104,,restaurant,,universite,,,,,,,,,slot restaurant universite,A_RECHERCHER,,,
slot_105,,cafe,,universite,,,,,,,,,slot café universite,A_RECHERCHER,,,
slot_106,,pharmacie,,universite,,,,,,,,,slot pharmacie universite,A_RECHERCHER,,,
slot_107,,banque,,universite,,,,,,,,,slot agence bancaire universite,A_RECHERCHER,,,
slot_108,,coworking,,universite,,,,,,,,,slot coworking universite,A_RECHERCHER,,,
slot_109,,syndic,,universite,,,,,,,,,slot syndic de copropriété universite,A_RECHERCHER,,,
slot_110,,fleuriste,,universite,,,,,,,,,slot fleuriste universite,A_RECHERCHER,,,
slot_111,,bijouterie,,universite,,,,,,,,,slot bijouterie universite,A_RECHERCHER,,,
slot_112,,spa,,universite,,,,,,,,,slot institut beauté universite,A_RECHERCHER,,,
slot_113,,optique,,mairie,,,,,,,,,slot optique mairie,A_RECHERCHER,,,
slot_114,,agence_immo,,mairie,,,,,,,,,slot agence immobilière mairie,A_RECHERCHER,,,
slot_115,,coiffure,,mairie,,,,,,,,,slot salon de coiffure mairie,A_RECHERCHER,,,
slot_116,,pret_a_porter,,mairie,,,,,,,,,slot magasin vêtements mairie,A_RECHERCHER,,,
slot_117,,boulangerie,,mairie,,,,,,,,,slot boulangerie mairie,A_RECHERCHER,,,
slot_118,,restaurant,,mairie,,,,,,,,,slot restaurant mairie,A_RECHERCHER,,,
slot_119,,cafe,,mairie,,,,,,,,,slot café mairie,A_RECHERCHER,,,
slot_120,,pharmacie,,mairie,,,,,,,,,slot pharmacie mairie,A_RECHERCHER,,,
slot_121,,banque,,mairie,,,,,,,,,slot agence bancaire mairie,A_RECHERCHER,,,
slot_122,,coworking,,mairie,,,,,,,,,slot coworking mairie,A_RECHERCHER,,,
slot_123,,syndic,,mairie,,,,,,,,,slot syndic de copropriété mairie,A_RECHERCHER,,,
slot_124,,fleuriste,,mairie,,,,,,,,,slot fleuriste mairie,A_RECHERCHER,,,
slot_125,,bijouterie,,mairie,,,,,,,,,slot bijouterie mairie,A_RECHERCHER,,,
slot_126,,spa,,mairie,,,,,,,,,slot institut beauté mairie,A_RECHERCHER,,,
slot_127,,optique,,chateau,,,,,,,,,slot optique chateau,A_RECHERCHER,,,
slot_128,,agence_immo,,chateau,,,,,,,,,slot agence immobilière chateau,A_RECHERCHER,,,
