id,nom,vertical,ville,site,telephone,mobile_gerant,email,pubs_actives,landing_lead,avis_google_gt20,multi_villes,score,statut,source,mots_cles_ad_library,hook,hook_type,notes,date_ajout,derniere_relance,decideur,resultat_appel,douleur_rappel,demo_planifiee,close,sequence_step,last_touch_at,next_touch_at,touches_count
SEED-001,Les Installateurs,pac_clim,Île-de-France,https://www.lesinstallateurs.fr/,01 84 24 01 72,,,oui,oui,oui,oui,5,A_APPELER,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,pubs PAC/clim IDF devis,1,Landing devis + multi-dept IDF,2026-07-26,,,,,,,0,,,0
SEED-002,MBC Énergie,pac_clim,Essonne,https://www.mbc-energie.fr/,,,,a_verifier,oui,oui,non,3,A_ENRICHIR,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,,,104 avis Google mentionnés — trouver tel,2026-07-26,,,,,,,,,,0
SEED-003,DECREB Rénovation,pac_clim,Île-de-France,https://decreb.fr/,07 62 67 93 58,,,a_verifier,oui,a_verifier,oui,4,A_APPELER,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,devis PAC IDF RGE,1,Form devis + contact@decreb.fr,2026-07-26,,,,,,,0,,,0
SEED-004,Optihome,pac_clim,Nord,https://www.optihome.fr/,03 20 76 81 87,,,a_verifier,oui,a_verifier,non,3,A_APPELER,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,PAC Qualipac Nord,5,RGE Qualipac Lambersart/Roncq,2026-07-26,,,,,,,0,,,0
SEED-005,VilaRenov,pac_clim,Loire-Atlantique,https://www.vilarenov.fr/,02 46 99 09 84,,,a_verifier,oui,a_verifier,oui,4,A_APPELER,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,chauffage multi-villes Ouest,4,Multi-villes Ouest + form devis,2026-07-26,,,,,,,0,,,0
SEED-006,Homeland Énergies,pac_clim,France,https://www.homeland-energies.fr/,,,,a_verifier,oui,a_verifier,oui,3,A_ENRICHIR,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Marque ads fréquente — vérifier Ad Library,2026-07-26,,,,,,,,,,0
SEED-007,Effy,reno,France,https://www.effy.fr/,,,,oui,oui,oui,oui,5,A_APPELER,research_web,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Gros spend ads — joindre partenaire/franchise local,2026-07-26,,,,,,,0,,,0
SEED-008,Hello Watt,reno,France,https://www.hellowatt.fr/,,,,oui,oui,oui,oui,5,A_QUALIFIER,research_web,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Lead platform — tester si acheteur B2B outil rappel,2026-07-26,,,,,,,,,,0
SEED-009,Quelle Énergie,reno,France,https://www.quelleenergie.fr/,,,,oui,oui,oui,oui,5,A_QUALIFIER,research_web,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Lead gen — cibler installateurs partenaires,2026-07-26,,,,,,,,,,0
SEED-010,Otodé,pac_clim,France,https://otode.fr/,,,,a_verifier,oui,a_verifier,oui,3,A_ENRICHIR,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Présence ads habitat,2026-07-26,,,,,,,,,,0
SEED-011,Engie Home Services (partenaire local),pac_clim,France,https://www.engie-homeservices.fr/,,,,oui,oui,oui,oui,5,A_QUALIFIER,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Cibler franchisés/partenaires pas le siège,2026-07-26,,,,,,,,,,0
SEED-012,Izi by EDF,reno,France,https://izi-by-edf-renov.fr/,,,,oui,oui,oui,oui,5,A_QUALIFIER,research_web,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Réseau — cibler artisans du réseau,2026-07-26,,,,,,,,,,0
SEED-013,TotalEnergies Rénovation,reno,France,https://renovation.totalenergies.fr/,,,,oui,oui,oui,oui,5,A_QUALIFIER,research_web,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Partenaires locaux,2026-07-26,,,,,,,,,,0
SEED-014,Dualsun installateurs,solaire,France,https://dualsun.com/,,,,a_verifier,oui,a_verifier,oui,3,A_ENRICHIR,research_web,panneaux solaires OR photovoltaïque OR devis solaire,,,Réseau installateurs solaires,2026-07-26,,,,,,,,,,0
SEED-015,My Light Systems partenaires,solaire,France,https://mylight-systems.com/,,,,a_verifier,oui,a_verifier,oui,3,A_ENRICHIR,research_web,panneaux solaires OR photovoltaïque OR devis solaire,,,Batterie/solaire — partenaires,2026-07-26,,,,,,,,,,0
SEED-016,Hello Watt (équipe partenaires),reno,France,https://www.hellowatt.fr/,09 78 46 70 64,,,oui,oui,oui,oui,5,A_QUALIFIER,research_web,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,gros flux leads reno,5,Gros ads — cibler responsables partenaires/installateurs du réseau,2026-07-26,,,,,,,,,,0
SEED-017,Pompe à Chaleur Maison (lead gen),pac_clim,France,https://pompe-a-chaleur-maison.fr/,,,,oui,oui,a_verifier,oui,4,A_ENRICHIR,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,,,"Lead marketplace — utile pour trouver installateurs partenaires, pas client final idéal",2026-07-26,,,,,,,,,,0
SEED-018,Installateur Pompe Chaleur (lead gen),pac_clim,France,https://installateur-pompe-chaleur.fr/,,,,oui,oui,a_verifier,oui,4,A_ENRICHIR,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Lead marketplace nationale,2026-07-26,,,,,,,,,,0
SEED-019,Installateur PAC RGE,pac_clim,France,https://installateur-pac-rge.fr/,,,,a_verifier,oui,oui,oui,4,A_ENRICHIR,research_web,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Site devis 48h — trouver tel mentions légales,2026-07-26,,,,,,,,,,0
SEED-020,France Rénov' annuaire RGE,reno,France,https://france-renov.gouv.fr/annuaires-professionnels/artisan-rge-architecte,,,,non,non,non,oui,1,A_RECHERCHER,research_web,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,SOURCE liste artisans RGE — extraire locaux qui ads ensuite,2026-07-26,,,,,,,,,,0
SLOT-006,[À TROUVER] Installateur pac_clim #1 — Nantes,pac_clim,Nantes,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Nantes. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-007,[À TROUVER] Installateur pac_clim #1 — Montpellier,pac_clim,Montpellier,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Montpellier. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-008,[À TROUVER] Installateur pac_clim #1 — Strasbourg,pac_clim,Strasbourg,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Strasbourg. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-009,[À TROUVER] Installateur reno #1 — Bordeaux,reno,Bordeaux,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Bordeaux. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-010,[À TROUVER] Installateur solaire #1 — Lille,solaire,Lille,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Lille. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-011,[À TROUVER] Installateur pac_clim #1 — Rennes,pac_clim,Rennes,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Rennes. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-012,[À TROUVER] Installateur pac_clim #1 — Reims,pac_clim,Reims,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Reims. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
