call_id,date,heure,icp_id,entreprise,vertical,score,decideur,decroche,douleur_rappel_min,volume_leads_sem,demo,close,objection,notes
P0-001,,,,,pac_clim,,,,,,,,,
P0-002,,,,,pac_clim,,,,,,,,,
P0-003,,,,,pac_clim,,,,,,,,,
P0-004,,,,,pac_clim,,,,,,,,,
P0-005,,,,,pac_clim,,,,,,,,,
P0-006,,,,,pac_clim,,,,,,,,,
P0-007,,,,,pac_clim,,,,,,,,,
P0-008,,,,,pac_clim,,,,,,,,,
P0-009,,,,,pac_clim,,,,,,,,,
P0-010,,,,,pac_clim,,,,,,,,,
P0-011,,,,,pac_clim,,,,,,,,,
P0-012,,,,,pac_clim,,,,,,,,,
P0-013,,,,,pac_clim,,,,,,,,,
P0-014,,,,,pac_clim,,,,,,,,,
P0-015,,,,,pac_clim,,,,,,,,,
P0-016,,,,,pac_clim,,,,,,,,,
P0-017,,,,,pac_clim,,,,,,,,,
P0-018,,,,,pac_clim,,,,,,,,,
P0-019,,,,,pac_clim,,,,,,,,,
P0-020,,,,,pac_clim,,,,,,,,,
P0-021,,,,,pac_clim,,,,,,,,,
P0-022,,,,,pac_clim,,,,,,,,,
P0-023,,,,,pac_clim,,,,,,,,,
P0-024,,,,,pac_clim,,,,,,,,,
P0-025,,,,,pac_clim,,,,,,,,,
P0-026,,,,,pac_clim,,,,,,,,,
P0-027,,,,,pac_clim,,,,,,,,,
P0-028,,,,,pac_clim,,,,,,,,,
P0-029,,,,,pac_clim,,,,,,,,,
P0-030,,,,,pac_clim,,,,,,,,,
P0-031,,,,,pac_clim,,,,,,,,,
P0-032,,,,,pac_clim,,,,,,,,,
P0-033,,,,,pac_clim,,,,,,,,,
P0-034,,,,,pac_clim,,,,,,,,,
P0-035,,,,,pac_clim,,,,,,,,,
P0-036,,,,,pac_clim,,,,,,,,,
P0-037,,,,,pac_clim,,,,,,,,,
P0-038,,,,,pac_clim,,,,,,,,,
P0-039,,,,,pac_clim,,,,,,,,,
P0-040,,,,,pac_clim,,,,,,,,,
P0-041,,,,,pac_clim,,,,,,,,,
P0-042,,,,,pac_clim,,,,,,,,,
P0-043,,,,,pac_clim,,,,,,,,,
P0-044,,,,,pac_clim,,,,,,,,,
P0-045,,,,,pac_clim,,,,,,,,,
P0-046,,,,,pac_clim,,,,,,,,,
P0-047,,,,,pac_clim,,,,,,,,,
P0-048,,,,,pac_clim,,,,,,,,,
P0-049,,,,,pac_clim,,,,,,,,,
P0-050,,,,,pac_clim,,,,,,,,,
P0-051,,,,,pac_clim,,,,,,,,,
P0-052,,,,,pac_clim,,,,,,,,,
P0-053,,,,,pac_clim,,,,,,,,,
P0-054,,,,,pac_clim,,,,,,,,,
P0-055,,,,,pac_clim,,,,,,,,,
P0-056,,,,,pac_clim,,,,,,,,,
P0-057,,,,,pac_clim,,,,,,,,,
P0-058,,,,,pac_clim,,,,,,,,,
P0-059,,,,,pac_clim,,,,,,,,,
P0-060,,,,,pac_clim,,,,,,,,,
P0-061,,,,,pac_clim,,,,,,,,,
P0-062,,,,,pac_clim,,,,,,,,,
P0-063,,,,,pac_clim,,,,,,,,,
P0-064,,,,,pac_clim,,,,,,,,,
P0-065,,,,,pac_clim,,,,,,,,,
P0-066,,,,,pac_clim,,,,,,,,,
P0-067,,,,,pac_clim,,,,,,,,,
P0-068,,,,,pac_clim,,,,,,,,,
P0-069,,,,,pac_clim,,,,,,,,,
P0-070,,,,,pac_clim,,,,,,,,,
P0-071,,,,,pac_clim,,,,,,,,,
P0-072,,,,,pac_clim,,,,,,,,,
P0-073,,,,,pac_clim,,,,,,,,,
P0-074,,,,,pac_clim,,,,,,,,,
P0-075,,,,,pac_clim,,,,,,,,,
P0-076,,,,,pac_clim,,,,,,,,,
P0-077,,,,,pac_clim,,,,,,,,,
P0-078,,,,,pac_clim,,,,,,,,,
P0-079,,,,,pac_clim,,,,,,,,,
P0-080,,,,,pac_clim,,,,,,,,,
P0-081,,,,,pac_clim,,,,,,,,,
P0-082,,,,,pac_clim,,,,,,,,,
P0-083,,,,,pac_clim,,,,,,,,,
P0-084,,,,,pac_clim,,,,,,,,,
P0-085,,,,,pac_clim,,,,,,,,,
P0-086,,,,,pac_clim,,,,,,,,,
P0-087,,,,,pac_clim,,,,,,,,,
P0-088,,,,,pac_clim,,,,,,,,,
P0-089,,,,,pac_clim,,,,,,,,,
P0-090,,,,,pac_clim,,,,,,,,,
P0-091,,,,,pac_clim,,,,,,,,,
P0-092,,,,,pac_clim,,,,,,,,,
P0-093,,,,,pac_clim,,,,,,,,,
P0-094,,,,,pac_clim,,,,,,,,,
P0-095,,,,,pac_clim,,,,,,,,,
P0-096,,,,,pac_clim,,,,,,,,,
P0-097,,,,,pac_clim,,,,,,,,,
P0-098,,,,,pac_clim,,,,,,,,,
P0-099,,,,,pac_clim,,,,,,,,,
P0-100,,,,,pac_clim,,,,,,,,,
