date,phase,appels,relances,decroches,douleur,demos,closes,ca_encaisse_eur,mrr_cumule_eur,objection_1,note_pitch,statut_jour
2026-07-26,P0,,,,,,,,,,,OPTIONAL_WEEKEND
2026-07-27,P0,,,,,,,,,,,A_FAIRE
2026-07-28,P0,,,,,,,,,,,A_FAIRE
2026-07-29,P0,,,,,,,,,,,A_FAIRE
2026-07-30,P0,,,,,,,,,,,A_FAIRE
2026-07-31,P0,,,,,,,,,,,A_FAIRE
2026-08-01,P0,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-02,P1,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-03,P1,,,,,,,,,,,A_FAIRE
2026-08-04,P1,,,,,,,,,,,A_FAIRE
2026-08-05,P1,,,,,,,,,,,A_FAIRE
2026-08-06,P1,,,,,,,,,,,A_FAIRE
2026-08-07,P1,,,,,,,,,,,A_FAIRE
2026-08-08,P1,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-09,P1,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-10,P1,,,,,,,,,,,A_FAIRE
2026-08-11,P1,,,,,,,,,,,A_FAIRE
2026-08-12,P1,,,,,,,,,,,A_FAIRE
2026-08-13,P1,,,,,,,,,,,A_FAIRE
2026-08-14,P1,,,,,,,,,,,A_FAIRE
2026-08-15,P1,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-16,P2,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-17,P2,,,,,,,,,,,A_FAIRE
2026-08-18,P2,,,,,,,,,,,A_FAIRE
2026-08-19,P2,,,,,,,,,,,A_FAIRE
2026-08-20,P2,,,,,,,,,,,A_FAIRE
2026-08-21,P2,,,,,,,,,,,A_FAIRE
2026-08-22,P2,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-23,P2,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-24,P2,,,,,,,,,,,A_FAIRE
2026-08-25,P2,,,,,,,,,,,A_FAIRE
2026-08-26,P2,,,,,,,,,,,A_FAIRE
2026-08-27,P2,,,,,,,,,,,A_FAIRE
2026-08-28,P2,,,,,,,,,,,A_FAIRE
2026-08-29,P2,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-30,P2,,,,,,,,,,,OPTIONAL_WEEKEND
2026-08-31,P2,,,,,,,,,,,A_FAIRE
2026-09-01,P2,,,,,,,,,,,A_FAIRE
2026-09-02,P2,,,,,,,,,,,A_FAIRE
2026-09-03,P2,,,,,,,,,,,A_FAIRE
2026-09-04,P2,,,,,,,,,,,A_FAIRE
2026-09-05,P2,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-06,P2,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-07,P2,,,,,,,,,,,A_FAIRE
2026-09-08,P2,,,,,,,,,,,A_FAIRE
2026-09-09,P3,,,,,,,,,,,A_FAIRE
2026-09-10,P3,,,,,,,,,,,A_FAIRE
2026-09-11,P3,,,,,,,,,,,A_FAIRE
2026-09-12,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-13,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-14,P3,,,,,,,,,,,A_FAIRE
2026-09-15,P3,,,,,,,,,,,A_FAIRE
2026-09-16,P3,,,,,,,,,,,A_FAIRE
2026-09-17,P3,,,,,,,,,,,A_FAIRE
2026-09-18,P3,,,,,,,,,,,A_FAIRE
2026-09-19,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-20,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-21,P3,,,,,,,,,,,A_FAIRE
2026-09-22,P3,,,,,,,,,,,A_FAIRE
2026-09-23,P3,,,,,,,,,,,A_FAIRE
2026-09-24,P3,,,,,,,,,,,A_FAIRE
2026-09-25,P3,,,,,,,,,,,A_FAIRE
2026-09-26,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-27,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-09-28,P3,,,,,,,,,,,A_FAIRE
2026-09-29,P3,,,,,,,,,,,A_FAIRE
2026-09-30,P3,,,,,,,,,,,A_FAIRE
2026-10-01,P3,,,,,,,,,,,A_FAIRE
2026-10-02,P3,,,,,,,,,,,A_FAIRE
2026-10-03,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-10-04,P3,,,,,,,,,,,OPTIONAL_WEEKEND
2026-10-05,P3,,,,,,,,,,,A_FAIRE
2026-10-06,P3,,,,,,,,,,,A_FAIRE
2026-10-07,P3,,,,,,,,,,,A_FAIRE
2026-10-08,P3,,,,,,,,,,,A_FAIRE
