nom,adresse,zone,tel,chaine,types,note,avis,web,lat,lng
2SIA,"23 Rue François Guhur, 56400 Auray, France",Auray,02 97 29 19 42,non,"consultant,electronics_store,store",4.9,10,http://www.2sia.fr/,47.6704456,-2.9778237
AU PETIT PRINCE - AURAY,"68 Pl. de la République 72, 56400 Auray, France",Auray,02 97 58 82 70,non,"chocolate_shop,candy_store,pastry_shop",4.1,389,http://www.aupetitprince.fr/,47.6668327,-2.9845764
Agence Gauter J et Cie SA,"54 Pl. de la République, 56400 Auray, France",Auray,02 97 24 11 62,non,"real_estate_agency,point_of_interest,service",4.1,151,http://www.agence-gauter.com/,47.667029,-2.984258
Agence Nestenn Immobilier Auray,"23 Av. Wilson, 56400 Auray, France",Auray,02 97 59 33 33,non,"real_estate_agency,point_of_interest,service",4.5,259,https://immobilier-auray.nestenn.com/,47.666984899999996,-2.981567
Ailleurs Café - Café Librairie,"28 Rue du Château, 56400 Auray, France",Auray,02 97 58 04 74,non,"coffee_shop,cafe,book_store",4.9,179,https://www.instagram.com/ailleurscafe/,47.666331199999995,-2.9810882
All'Océan - Vêtements marins - Auray,"24 Pl. de la République, 56400 Auray, France",Auray,09 56 65 25 39,non,"clothing_store,store,point_of_interest",5,65,https://www.all-ocean.com/fr/,47.66659,-2.9833442999999997
Ar. D'ēco,"56400 Auray, France",Auray,,non,"furniture_store,home_improvement_store,home_goods_store",,,,47.666576799999994,-2.9869748
Arnaud Lamour - Conseiller immobilier SAFTI - Auray,"100 Pl. de la République, 56400 Auray, France",Auray,06 35 35 79 83,non,"consultant,finance,point_of_interest",5,35,https://www.safti.fr/votre-conseiller-safti/arnaud-lamour/232637,47.66649160000001,-2.9838386999999997
Arthur Colley Immobilier,"Rue des Fèves, 56400 Auray, France",Auray,06 98 82 17 50,non,"real_estate_agency,point_of_interest,service",,,http://arthurcolley.fr/demande,47.666623099999995,-2.9845842
Arts Ménagers du Belzic,"5 Rue du Belzic, 56400 Auray, France",Auray,02 97 24 28 72,non,"gift_shop,furniture_store,home_improvement_store",4.6,34,http://artsmenagersdubelzic.com/,47.666077,-2.9846304
Atelier boutique Ty Kador,"1 Rue Lionel Huette, 56400 Auray, France",Auray,06 95 64 04 28,non,"gift_shop,furniture_store,home_improvement_store",5,2,,47.6671264,-2.9829558
Au Pavillon,"3 Pl. de la République, 56400 Auray, France",Auray,02 97 24 04 81,non,"brewery,brunch_restaurant,bar",4.5,382,https://aupavillonauray.com/,47.666420099999996,-2.9824444
Audioprothésiste Audio 2000 Auray,"24 Av. du Président John Fitzgerald Kennedy, 56400 Auray, France",Auray,02 97 29 16 55,non,"doctor,electronics_store,store",5,51,https://www.audioprothesiste-auray.fr/,47.6706748,-2.9856477999999997
Auray Cuisines - Cusiniste Auray,"18 Rue du Belzic, 56400 Auray, France",Auray,09 87 34 28 14,non,"furniture_store,home_improvement_store,home_goods_store",5,7,https://auraycuisines.fr/,47.666114,-2.9848993
Aurélien Méru SAFTI,"Place de l'hôtel de ville, 56400 Auray, France",Auray,06 87 46 83 50,non,"consultant,point_of_interest,real_estate_agency",,,https://www.safti.fr/votre-conseiller-safti/aurelien-meru,47.666430999999996,-2.9833461
BOUYGUES TELECOM AURAY,"7 Pl. de la République, 56400 Auray, France",Auray,09 86 01 05 41,non,"telecommunications_service_provider,electronics_store,cell_phone_store",4.9,638,https://boutiques.bouyguestelecom.fr/bouyguestelecom/fr/shop/france/bretagne/morbihan/auray/auray/4990040?utm_source=GMB&utm_campaign=Multidiffusion&utm_medium=local&utm_content=4990040&origin=GMB,47.6662785,-2.9827646
Bar /Tabac Le Wilson,"5 Av. Wilson, 56400 Auray, France",Auray,02 97 24 36 47,non,"bar,point_of_interest,establishment",4.4,51,,47.6665444,-2.9824789
Bazoom BD-Musique,"6 Rue du Belzic, 56400 Auray, France",Auray,02 90 98 22 36,non,"book_store,store,point_of_interest",4.8,63,https://www.facebook.com/bazoom.bdmusique,47.666248599999996,-2.9844774
Benellina,"Place Notre Dame, 56400 Auray, France",Auray,06 22 59 28 03,non,"sandwich_shop,catering_service,meal_takeaway",,,,47.666451699999996,-2.9838152
Bijouterie Guérineau,"31 Rue Jean Marie Barre, 56400 Auray, France",Auray,02 97 24 13 42,non,"jewelry_store,store,point_of_interest",4.1,65,https://www.bijouterie-guerineau-auray.fr/,47.6675506,-2.9851102000000003
Bonobo,"62 Pl. de la République, 56400 Auray, France",Auray,02 97 56 35 79,non,"clothing_store,womens_clothing_store,shoe_store",4.6,128,https://www.bonoboplanet.com/?at_campaign=magasin&at_medium=gmb,47.66675000000001,-2.98385
Brocante La malle de louise,"3 Rue Philippe Vannier, 56400 Auray, France",Auray,07 60 04 77 75,non,"furniture_store,clothing_store,home_improvement_store",4.9,19,https://www.flgdecoration.com/la-malle-de-louise,47.666843899999996,-2.9822401
Bréal,"44 Pl. de la République, 56400 Auray, France",Auray,02 30 17 00 30,non,"clothing_store,store,point_of_interest",4.7,105,https://www.breal.net/?at_campaign=magasin&at_medium=gmb,47.6668496,-2.9838997
CIC,"20 Pl. de la République, 56400 Auray, France",Auray,02 97 35 00 03,non,"bank,insurance_agency,telecommunications_service_provider",4.3,41,https://www.cic.fr/fr/agence/bretagne/morbihan/30047-14039-00?y_source=1_MTQxNjE3MjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,47.666655299999995,-2.9832636
Calèche,"27 Rue Jean Marie Barre, 56400 Auray, France",Auray,02 97 29 00 15,non,"clothing_store,store,point_of_interest",4.7,25,,47.667504799999996,-2.9850043
Cartron - L'émotion gourmande,"40 Pl. de la République, 56400 Auray, France",Auray,02 97 24 02 97,non,"pastry_shop,bakery,dessert_shop",4,116,https://www.cartron-gourmandises.com/,47.666749599999996,-2.9838155
Chaussures Bellouard,"2 Rue Jean Marie Barre, 56400 Auray, France",Auray,02 97 52 00 51,non,"shoe_store,store,point_of_interest",4,6,,47.667056800000005,-2.9844342
Chez Clem bar à huîtres,"Les Halles, Pl. de la République, 56400 Auray, France",Auray,06 60 97 13 33,non,"fast_food_restaurant,restaurant,food",5,25,,47.6664368,-2.9838582
Coline,"14 Pl. de la République, 56400 Auray, France",Auray,,non,"clothing_store,store,point_of_interest",5,3,,47.666534399999996,-2.9830638
