n,nom,adresse,rue,tel,type,web
1,Agence Groupama Hennebont,"1 B Pl. Maréchal Foch 1 Et, 56700 Hennebont, France",Place Foch,02 97 36 23 09,insurance_agency,https://agences.groupama.fr/assurance/loire-bretagne/agence-groupama-hennebont-idLBR58083?lm=fiche-etablissement-google_lbr_hennebont_page
2,AXA Assurance et Banque Denis & Yasmina POTIER,"Residence Du Puits Ferre, 1 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 36 58 88,insurance_agency,https://agence.axa.fr/distributeur/0001821904?utm_campaign=Multidiffusion&utm_content=0001821904&utm_medium=local&utm_source=GMB
3,Boulangerie Pâtisserie Chocolaterie Le Fournil,"28 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 37 76 09,bakery,
4,Chic Choc Coiffure Esthétique,"1 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 85 06 29,hair_salon,http://www.chicchoccoiffure.fr/
5,Court'Immo Tetrel Laurence Agent Indépendant,"12 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 86 63 17,consultant,https://www.courtimmo-bretagne.com/conseiller/laurence-tetrel-courtiere-en-credits-immobiliers-lorient
6,Entract Bar,"1 ter Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 36 25 58,bar,
7,For Men,"3 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 85 10 76,hair_salon,https://frmaps.xyz/business/for-men-wK66srVk
8,Hennebont Brocante,"9 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,06 75 11 58 21,home_goods_store,
9,la medina,"22 BIS Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 88 76 12,moroccan_restaurant,
10,LE BEC Immobilier HENNEBONT,"4 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 36 87 99,real_estate_agency,https://www.lebec-lorient.com/
11,LE HENNEBONTAISE,"8 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 36 22 65,bakery,
12,le spot,"14 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 36 22 19,bar,https://www.instagram.com/le_spot_bistro_resto/
13,Le Vieux Logis,"5 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 36 21 55,restaurant,https://www.levieuxlogishennebont-56.fr/
14,MAP Immobilier Hennebont - Gestion & Location,"16 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,02 97 36 20 04,real_estate_agency,https://www.mapimmobilier.fr/?utm_source=gmb
15,Robin Lecomte Immobilier,"13 Pl. Maréchal Foch, 56700 Hennebont, France",Place Foch,06 18 54 50 91,service,https://www.iadfrance.fr/conseiller-immobilier/robin.lecomte
