tournee_id,jour,zone,ilot,ordre,commerce,adresse,tel,lat,lng,statut,contact,prix_mois,frequence,heure,sepa,date_premier,date_contrat,acces,notes
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,1,Joaillerie Elor,"2 Rue Saint-Bieuzy, 56270 Ploemeur, France",02 90 61 66 60,47.736173,-3.4280687,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,2,Agence Immo,"22 Pl. de l'Église, 56270 Ploemeur, France",02 97 86 69 69,47.7362252,-3.4274267,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,3,Ruseff & Latruffe Immobilier,"22 Pl. de l'Église, 56270 Ploemeur, France",02 97 86 69 69,47.7362252,-3.4274267,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,4,Bizoù Caillou,"22 Pl. de l'Église, 56270 Ploemeur, France",02 97 35 43 21,47.736228,-3.4274898,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,5,les passagers du vent,"22 Pl. de l'Église, 56270 Ploemeur, France",02 97 85 29 45,47.7362308,-3.4275529999999996,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,6,Drean Pascal,"20 Pl. de l'Église, 56270 Ploemeur, France",02 97 86 28 48,47.736261299999995,-3.4279945000000005,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,7,Little Italie,"4-2 Rue de Larmor, 56270 Ploemeur, France",02 97 86 14 14,47.7362697,-3.4269746,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,8,Pharmacie de l'Eglise,"19 Pl. de l'Église, 56270 Ploemeur, France",02 97 86 32 49,47.7362985,-3.4281903999999996,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,9,Art et Création,"24 Pl. de l'Église, 56270 Ploemeur, France",02 97 85 20 66,47.7363222,-3.4269936999999997,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,10,Elo les Délices,"24 Pl. de l'Église, 56270 Ploemeur, France",06 10 84 43 67,47.7363222,-3.4269936999999997,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,11,Crédit Maritime Grand Ouest,"21 Place de l''Eglise, 56270 Ploemeur, France",02 72 96 06 90,47.7363581,-3.4277737999999998,cible,,,,,,,,,
T01,Mer,Ploemeur,2 Rue Saint-Bieuzy / 22 Pl. de l'Église,12,Julie HAVET - VAULTIER IMMOBILIER - Frais d'agence fixes & réduits !,"Pl. de l'Église, 56270 Ploemeur, France",06 07 43 97 20,47.7363819,-3.427789,cible,,,,,,,,,
T02,Lun,Lorient-centre,7 Rue Léo le Bourgo / 11 Rue Léo le Bourgo,1,GEMMAE,"7 Rue Léo le Bourgo, 56100 Lorient, France",09 70 91 27 34,47.7486496,-3.3650271999999997,cible,,,,,,,,,
T02,Lun,Lorient-centre,7 Rue Léo le Bourgo / 11 Rue Léo le Bourgo,2,"Salvador - Déco, antiquités, art de la table, galerie d'art","7 Rue Léo le Bourgo, 56100 Lorient, France",02 97 35 01 93,47.7486496,-3.3650271999999997,cible,,,,,,,,,
