nom,email,telephone,adresse,ville_zone,site,maps,note,nb_avis,statut,email_source,place_id,lat,lng,statut_crm,date_ajout
HOMELOK,reservations@homelok.fr,06 13 52 85 25,"58 Bd Léon Blum, 56100 Lorient",Lorient,https://homelok.fr/,https://maps.google.com/?cid=6353624847130405994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,601,OPERATIONAL,page_contact,ChIJ__-DgKxfEEgRaqxNsSKcLFg,47.7486544,-3.3739097000000005,a_contacter,2026-08-12
Weekeys Conciergerie,hello@weekeysconciergerie.fr,06 15 25 07 72,"3 Rle Saint-Sauveur, 22100 Dinan",Saint-Malo,https://www.weekeysconciergerie.fr/,https://maps.google.com/?cid=1830381883347184017&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,276,OPERATIONAL,site_accueil,ChIJUSjWlRxhZm8RkSk4CKDSZhk,48.4531554,-2.0430622,a_contacter,2026-08-12
Justuntoit Conciergerie,contact@justuntoit.fr,07 56 81 84 36,"11 Rue Amiral Troude, 29200 Brest",Brest,https://www.justuntoit.fr/,https://maps.google.com/?cid=8692535281720326431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,273,OPERATIONAL,site_accueil,ChIJF9wW5nT0XGURH3l9oMgWong,48.3862072,-4.4794038,a_contacter,2026-08-12
Mariette Immobilier - Concarneau,contact@mariette-ic.com,02 98 51 57 79,"17 Av. de la Gare, 29900 Concarneau",Concarneau,https://www.mariette-immobilier-conciergerie.com/,https://maps.google.com/?cid=12230172870223042210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,178,OPERATIONAL,site_accueil,ChIJE5wg6DrbEEgRopZDX21Nuqk,47.875467900000004,-3.9193453000000003,a_contacter,2026-08-12
Cocoonr Rennes - Agence de conciergerie et location,contact@cocoonr.fr,09 70 70 08 59,"50 Rue d'Antrain, 35000 Rennes",Rennes,https://cocoonr.fr/location-court-sejour/rennes-35/?,https://maps.google.com/?cid=18268338223682036855&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.8,178,OPERATIONAL,page_contact,ChIJZafkbx_fDkgRdyRCG9Mshv0,48.1166659,-1.6782808,a_contacter,2026-08-12
Cocoonr Saint-Malo - Agence de conciergerie et de location,contact@cocoonr.fr,09 70 70 08 59,"9 Av. Jean Jaurès, 35400 Saint-Malo",Saint-Malo,https://cocoonr.fr/location-court-sejour/saint-malo-35/,https://maps.google.com/?cid=10527549331059094862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,169,OPERATIONAL,page_contact,ChIJ76256NCBDkgRTrUt2VZeGZI,48.648615799999995,-2.0076764,a_contacter,2026-08-12
Conciergerie De La Baie De Morlaix,contact@conciergeriedelabaiedemorlaix.com,06 48 07 13 20,"6 Rue de Prat Per, 29420 Plouénan",Lannion,https://www.conciergeriedelabaiedemorlaix.com/,https://maps.google.com/?cid=17988864895592974681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,128,OPERATIONAL,site_accueil,ChIJF0SQ7K5dEUgRWUlQPlBJpfk,48.6273841,-3.9913010000000004,a_contacter,2026-08-12
"Concierge BB, Conciergerie Airbnb - Partenaire local",demande@conciergebb.fr,09 80 80 12 66,"9 Rue Saint-Saëns, 29200 Brest",Lannion,https://www.conciergebb.fr/pages/conciergerie-airbnb-brest-gestion-de-location-courte-duree,https://maps.google.com/?cid=586432005451605802&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,116,OPERATIONAL,site_accueil,ChIJiyajmEW5FkgRKufcSc1sIwg,48.3913611,-4.4829915,a_contacter,2026-08-12
Les Saisons d'Emeraude,gestion@saisons-emeraude.com,07 56 90 06 03,"21 Rue Beauséjour, 35400 Saint-Malo",Saint-Malo,https://www.saisons-emeraude.com/,https://maps.google.com/?cid=6955938328860626759&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,113,OPERATIONAL,site_accueil,ChIJQcJpv96BDkgRRw9DUw51iGA,48.6348884,-2.0027971,a_contacter,2026-08-12
Conciergerie LOCATION CONCEPT,contact@location-concept.fr,06 38 80 87 34,"78B Av. du 4 Août 1944, 56000 Vannes",Vannes,https://www.location-concept.fr/,https://maps.google.com/?cid=12698078555004147204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,106,OPERATIONAL,site_accueil,ChIJ95xFwEkZEEgRBBYHISujOLA,47.674798499999994,-2.7588562999999997,a_contacter,2026-08-12
