nom,email,telephone,adresse,ville_zone,site,maps,note,nb_avis,statut_crm,date_ajout,email_source,place_id
HOMELOK,reservations@homelok.fr,06 13 52 85 25,"58 Bd Léon Blum, 56100 Lorient",Lorient,https://homelok.fr/,https://maps.google.com/?cid=6353624847130405994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,601,a_contacter,2026-08-12,page_contact,ChIJ__-DgKxfEEgRaqxNsSKcLFg
Weekeys Conciergerie,hello@weekeysconciergerie.fr,06 15 25 07 72,"3 Rle Saint-Sauveur, 22100 Dinan",Saint-Malo,https://www.weekeysconciergerie.fr/,https://maps.google.com/?cid=1830381883347184017&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,276,a_contacter,2026-08-12,site_accueil,ChIJUSjWlRxhZm8RkSk4CKDSZhk
Justuntoit Conciergerie,contact@justuntoit.fr,07 56 81 84 36,"11 Rue Amiral Troude, 29200 Brest",Brest,https://www.justuntoit.fr/,https://maps.google.com/?cid=8692535281720326431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,273,a_contacter,2026-08-12,site_accueil,ChIJF9wW5nT0XGURH3l9oMgWong
Mariette Immobilier - Concarneau,contact@mariette-ic.com,02 98 51 57 79,"17 Av. de la Gare, 29900 Concarneau",Concarneau,https://www.mariette-immobilier-conciergerie.com/,https://maps.google.com/?cid=12230172870223042210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,178,a_contacter,2026-08-12,site_accueil,ChIJE5wg6DrbEEgRopZDX21Nuqk
Cocoonr Rennes - Agence de conciergerie et location,contact@cocoonr.fr,09 70 70 08 59,"50 Rue d'Antrain, 35000 Rennes",Rennes,https://cocoonr.fr/location-court-sejour/rennes-35/?,https://maps.google.com/?cid=18268338223682036855&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.8,178,a_contacter,2026-08-12,page_contact,ChIJZafkbx_fDkgRdyRCG9Mshv0
Conciergerie De La Baie De Morlaix,contact@conciergeriedelabaiedemorlaix.com,06 48 07 13 20,"6 Rue de Prat Per, 29420 Plouénan",Lannion,https://www.conciergeriedelabaiedemorlaix.com/,https://maps.google.com/?cid=17988864895592974681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,128,a_contacter,2026-08-12,site_accueil,ChIJF0SQ7K5dEUgRWUlQPlBJpfk
"Concierge BB, Conciergerie Airbnb - Partenaire local",demande@conciergebb.fr,09 80 80 12 66,"9 Rue Saint-Saëns, 29200 Brest",Lannion,https://www.conciergebb.fr/pages/conciergerie-airbnb-brest-gestion-de-location-courte-duree,https://maps.google.com/?cid=586432005451605802&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,116,a_contacter,2026-08-12,site_accueil,ChIJiyajmEW5FkgRKufcSc1sIwg
Les Saisons d'Emeraude,gestion@saisons-emeraude.com,07 56 90 06 03,"21 Rue Beauséjour, 35400 Saint-Malo",Saint-Malo,https://www.saisons-emeraude.com/,https://maps.google.com/?cid=6955938328860626759&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,113,a_contacter,2026-08-12,site_accueil,ChIJQcJpv96BDkgRRw9DUw51iGA
Conciergerie LOCATION CONCEPT,contact@location-concept.fr,06 38 80 87 34,"78B Av. du 4 Août 1944, 56000 Vannes",Vannes,https://www.location-concept.fr/,https://maps.google.com/?cid=12698078555004147204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,106,a_contacter,2026-08-12,site_accueil,ChIJ95xFwEkZEEgRBBYHISujOLA
ALB Conciergerie - Gestion Locative Airbnb à Lorient & Environs,contact@albconciergerie.fr,06 34 95 41 39,"107 Rue Louis Roche, 56100 Lorient",Fouesnant,https://albconciergerie.fr/,https://maps.google.com/?cid=17788870856315224920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,77,a_contacter,2026-08-12,page_contact,ChIJn8mQf-YyT2URWMP3WcvD3vY
Interhome,info@interhome.ch,02 23 17 26 76,"23 Rue Levavasseur, 35800 Dinard",Dinard,https://www.interhome.fr/services-sur-place/interhome-dinard-fr098/?partnerid=&utm_source=gmb&utm_campaign=fr098-dinard&utm_medium=gmb&utm_locale=fr-fr,https://maps.google.com/?cid=12379167885819904847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.5,73,a_contacter,2026-08-12,page_contact,ChIJ-bd7L8SADkgRTwM4wZqjy6s
Heaven Home - Conciergerie à Guingamp,contact@heaven-home.co,07 84 83 14 90,"23 Rue Gambetta, 22970 Ploumagoar",Saint-Brieuc,http://heaven-home.co/,https://maps.google.com/?cid=8657460140113716295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,63,a_contacter,2026-08-12,site_accueil,ChIJ3aCNASWNEUgRR-SU1CB6JXg
Bretagne emeraude conciergerie et multi services,bretagne-emeraude.conciergerie@bbox.fr,06 61 27 12 59,"2 Imp. d'Armor, 35260 Cancale",Saint-Malo,https://bretagne-emeraude-conciergerie.fr/,https://maps.google.com/?cid=10659444310326905573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,63,a_contacter,2026-08-12,site_accueil,ChIJmf0RWcqdDkgR5QoYxB_07ZM
Conciergerie LA BRETONNE,conciergerie@la-bretonne.fr,06 23 48 61 69,"50 Kerarmoal Lieu-dit, 29870 Landéda",Brest,http://www.la-bretonne.fr/,https://maps.google.com/?cid=12933930013873527356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,62,a_contacter,2026-08-12,site_accueil,ChIJR1cJZBZeDoMRPNqxGtKMfrM
Conciergerie Du Golfe,contact@conciergeriedugolfe.fr,07 85 16 34 53,"3 Pl. Olivier Delourme, 56000 Vannes",Vannes,http://conciergeriedugolfe.fr/,https://maps.google.com/?cid=908634469349806908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,62,a_contacter,2026-08-12,site_accueil,ChIJP4oEfdcfEEgRPFNFWDwenAw
la conciergerie de quiberon,laconciergeriedequiberon@outlook.fr,06 73 77 95 43,"28 Bd Anatole France, 56170 Quiberon",Quiberon,http://www.laconciergeriedequiberon.fr/,https://maps.google.com/?cid=860828600695588277&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,59,a_contacter,2026-08-12,site_accueil,ChIJmwEZLMx3EEgRtQX1LA1H8gs
Finistarmor : Conciergerie à Brest & dans le Finistère,bnb@conciergerie-finistarmor.fr,02 55 99 62 31,"25 Rue Robert Schuman, 29480 Le Relecq-Kerhuon",Brest,https://www.conciergerie-finistarmor.fr/,https://maps.google.com/?cid=2405069165504020667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,56,a_contacter,2026-08-12,site_accueil,ChIJ1apOG0ixFkgRu8Ac1qmFYCE
Conciergerie Bienvenue | Vannes - Auray - Carnac,conciergeriebienvenue@gmail.com,06 61 08 10 83,"128 Av. de Verdun, 56000 Vannes",Carnac,http://www.conciergeriebienvenue.com/,https://maps.google.com/?cid=13642663414567909251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,55,a_contacter,2026-08-12,site_accueil,ChIJlQCp8xp4jIQRg7eJ9xd6VL0
Conciergerie Rennes Host - Conciergerie à Rennes,conciergerie@rennes-host.fr,06 19 72 94 44,"92 Rue Paul Féval, 35000 Rennes",Rennes,https://www.rennes-host.fr/contact,https://maps.google.com/?cid=10271158445628594122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,54,a_contacter,2026-08-12,site_accueil,ChIJo8PkNW7FZycRyhdy9y98io4
