categorie,nom,telephone,adresse,site,maps,note,nb_avis,distance_km,place_id,statut_appel
bar_resto,PC la Base Crêperie,02 97 30 61 27,"La Base des sous-marins Keroman, 9 Rue d'Estienne d'Orves, 56100 Lorient",https://pcdelabase.com/,https://maps.google.com/?cid=14066565591274547645&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,3416,0.3,ChIJGVBKKTNeEEgRvemmneB6NsM,a_appeler
bar_resto,La Base Bar Restaurant,02 97 88 01 93,"Base sous-marins Keroman, 56100 Lorient",https://labase-lorient.com/,https://maps.google.com/?cid=9882606757982748584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.1,1232,0.34,ChIJ3ZbpzgBfEEgRqL9vcHwSJok,a_appeler
bar_resto,TyRoll - Cité de la Voile Éric Tabarly,02 97 65 56 56,"Lorient La Base, 56100 Lorient",https://www.citevoile-tabarly.com/fr/descente-en-tyrolienne,https://maps.google.com/?cid=6966106799454003720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,74,0.4,ChIJB8FXn6dfEEgRCKLj4DmVrGA,a_appeler
bar_resto,Cité de la Voile Éric Tabarly,02 97 65 56 56,"Lorient La Base, Rue Roland Morillot, 56323 Lorient",https://www.citevoile-tabarly.com/fr,https://maps.google.com/?cid=8356117114938940283&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,4194,0.41,ChIJO92xQMpfEEgRe1t_UT7k9nM,a_appeler
bar_resto,La Marmite de Julie,02 97 59 79 87,"10 Rue Raymond Rallier du Baty, 56100 Lorient",,https://maps.google.com/?cid=1071469089930496549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,72,0.41,ChIJE0HP5hBfEEgRJUoe3XWf3g4,a_appeler
bar_resto,La Baleine bar - restaurant - event,02 97 78 33 59,"Rue d'Estienne d'Orves, 56100 Lorient",https://www.labaleine.bzh/,https://maps.google.com/?cid=13279630878730489786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.1,807,0.42,ChIJBaZsWhFfEEgRug8K--y5Srg,a_appeler
bar_resto,Comptoir Insulaire Groix et Nature Lorient,02 97 05 58 91,"7 Rue d'Estienne d'Orves, 56100 Lorient",http://www.groix-et-nature.com/,https://maps.google.com/?cid=11460218232345713364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,283,0.44,ChIJDVTvizhfEEgR1Nprc8PfCp8,a_appeler
bar_resto,SeaSens Lorient,09 70 66 14 23,"83 Av. de la Perrière, 56100 Lorient",https://seasens-lorient.fr/,https://maps.google.com/?cid=1581202403888950972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,29,0.52,ChIJ5SQ3R_xfEEgRvG7LcTWP8RU,a_appeler
bar_resto,ESCAPADES GOURMANDES,02 97 86 56 58,"centre lorient mer, 1 Rue d'Estienne d'Orves Celtic submarine 1, 56100 Lorient",http://www.escapades-gourmandes.fr/,https://maps.google.com/?cid=15204220850921292889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,1,0.53,ChIJd0K4bFFeEEgRWUTA-U4-ANM,a_appeler
bar_resto,K5 Traiteur,02 30 91 70 00,"1 Rue d'Estienne d'Orves, 56100 Lorient",https://www.k5traiteur.com/,https://maps.google.com/?cid=4713047042975951790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,332,0.53,ChIJNw6KRFReEEgRrmtJllAbaEE,a_appeler
